stop,day,time_slot,total,corridor,percentage
Valasaravakkam,Thu,20:30-21:00,28,Vadapalani,0.2899288374303883
Valasaravakkam,Thu,20:30-21:00,28,Broadway,0.7100711625696116
Porur,Sun,13:00-13:30,110,Vadapalani,0.33502981665154613
Porur,Sun,13:00-13:30,110,Thiruvanmiyur,0.3675271681706506
Porur,Sun,13:00-13:30,110,Broadway,0.2974430151778033
Iyyappanthangal,Fri,16:30-17:00,103,Vadapalani,0.19571099903949052
Iyyappanthangal,Fri,16:30-17:00,103,Thiruvanmiyur,0.46371826223141055
Iyyappanthangal,Fri,16:30-17:00,103,Broadway,0.3405707387290989
Porur,Fri,11:30-12:00,44,Vadapalani,0.25950332031485046
Porur,Fri,11:30-12:00,44,Thiruvanmiyur,0.5025639114749506
Porur,Fri,11:30-12:00,44,Broadway,0.23793276821019893
Iyyappanthangal,Mon,21:30-22:00,67,Vadapalani,0.3091893497007012
Iyyappanthangal,Mon,21:30-22:00,67,Thiruvanmiyur,0.52361836571496
Iyyappanthangal,Mon,21:30-22:00,67,Broadway,0.1671922845843386
Iyyappanthangal,Mon,19:30-20:00,73,Vadapalani,0.24778332702966438
Iyyappanthangal,Mon,19:30-20:00,73,Thiruvanmiyur,0.4675884531018932
Iyyappanthangal,Mon,19:30-20:00,73,Broadway,0.28462821986844256
Porur,Sat,15:30-16:00,98,Vadapalani,0.31553967259938576
Porur,Sat,15:30-16:00,98,Thiruvanmiyur,0.3473747874378575
Porur,Sat,15:30-16:00,98,Broadway,0.3370855399627567
Valasaravakkam,Fri,17:30-18:00,106,Vadapalani,0.3765869686852232
Valasaravakkam,Fri,17:30-18:00,106,Broadway,0.6234130313147768
Iyyappanthangal,Sun,06:00-06:30,39,Vadapalani,0.5127409648193867
Iyyappanthangal,Sun,06:00-06:30,39,Thiruvanmiyur,0.2925913489380335
Iyyappanthangal,Sun,06:00-06:30,39,Broadway,0.19466768624257974
Iyyappanthangal,Sat,09:30-10:00,63,Vadapalani,0.6235850049029315
Iyyappanthangal,Sat,09:30-10:00,63,Thiruvanmiyur,0.29031764665732
Iyyappanthangal,Sat,09:30-10:00,63,Broadway,0.0860973484397485
Valasaravakkam,Fri,17:30-18:00,90,Vadapalani,0.3679869025390383
Valasaravakkam,Fri,17:30-18:00,90,Broadway,0.6320130974609617
Valasaravakkam,Sun,11:30-12:00,105,Vadapalani,0.4676269789828706
Valasaravakkam,Sun,11:30-12:00,105,Broadway,0.5323730210171294
Valasaravakkam,Fri,06:30-07:00,31,Vadapalani,0.6966699622190369
Valasaravakkam,Fri,06:30-07:00,31,Broadway,0.30333003778096324
Ramapuram,Wed,17:00-17:30,116,Thiruvanmiyur,1.0
Iyyappanthangal,Sat,16:00-16:30,36,Vadapalani,0.2110681456392607
Iyyappanthangal,Sat,16:00-16:30,36,Thiruvanmiyur,0.5063953694934795
Iyyappanthangal,Sat,16:00-16:30,36,Broadway,0.2825364848672597
Valasaravakkam,Fri,13:00-13:30,21,Vadapalani,0.38942445734914954
Valasaravakkam,Fri,13:00-13:30,21,Broadway,0.6105755426508506
Ramapuram,Tue,13:30-14:00,49,Thiruvanmiyur,1.0
Ramapuram,Sun,16:30-17:00,20,Thiruvanmiyur,1.0
Iyyappanthangal,Thu,20:00-20:30,67,Vadapalani,0.24074906146290076
Iyyappanthangal,Thu,20:00-20:30,67,Thiruvanmiyur,0.4704491782331019
Iyyappanthangal,Thu,20:00-20:30,67,Broadway,0.28880176030399746
Porur,Tue,13:30-14:00,40,Vadapalani,0.36611616446610146
Porur,Tue,13:30-14:00,40,Thiruvanmiyur,0.38295136673391844
Porur,Tue,13:30-14:00,40,Broadway,0.25093246879998016
Iyyappanthangal,Wed,10:30-11:00,103,Vadapalani,0.25006418834217176
Iyyappanthangal,Wed,10:30-11:00,103,Thiruvanmiyur,0.47903535299117744
Iyyappanthangal,Wed,10:30-11:00,103,Broadway,0.2709004586666508
Ramapuram,Sun,08:30-09:00,49,Thiruvanmiyur,1.0
Valasaravakkam,Thu,20:30-21:00,33,Vadapalani,0.421184693151419
Valasaravakkam,Thu,20:30-21:00,33,Broadway,0.5788153068485811
Ramapuram,Mon,06:00-06:30,24,Thiruvanmiyur,1.0
Valasaravakkam,Sun,19:30-20:00,23,Vadapalani,0.3192441222141118
Valasaravakkam,Sun,19:30-20:00,23,Broadway,0.6807558777858883
Porur,Wed,09:00-09:30,50,Vadapalani,0.5393618214258866
Porur,Wed,09:00-09:30,50,Thiruvanmiyur,0.31203918005458386
Porur,Wed,09:00-09:30,50,Broadway,0.14859899851952948
Porur,Fri,12:30-13:00,58,Vadapalani,0.3150271455840602
Porur,Fri,12:30-13:00,58,Thiruvanmiyur,0.37107320580279823
Porur,Fri,12:30-13:00,58,Broadway,0.3138996486131416
Valasaravakkam,Sun,08:00-08:30,44,Vadapalani,0.7368273534974829
Valasaravakkam,Sun,08:00-08:30,44,Broadway,0.2631726465025172
Valasaravakkam,Thu,18:00-18:30,44,Vadapalani,0.3673443743802294
Valasaravakkam,Thu,18:00-18:30,44,Broadway,0.6326556256197705
Ramapuram,Wed,07:30-08:00,98,Thiruvanmiyur,1.0
Valasaravakkam,Mon,16:30-17:00,46,Vadapalani,0.43845122556575084
Valasaravakkam,Mon,16:30-17:00,46,Broadway,0.5615487744342491
Porur,Sat,17:00-17:30,51,Vadapalani,0.1596923218398254
Porur,Sat,17:00-17:30,51,Thiruvanmiyur,0.5183886395298619
Porur,Sat,17:00-17:30,51,Broadway,0.32191903863031274
Ramapuram,Thu,08:00-08:30,26,Thiruvanmiyur,1.0
Ramapuram,Sat,21:30-22:00,116,Thiruvanmiyur,1.0
Porur,Mon,11:30-12:00,22,Vadapalani,0.2784370051823982
Porur,Mon,11:30-12:00,22,Thiruvanmiyur,0.4152699404518614
Porur,Mon,11:30-12:00,22,Broadway,0.30629305436574045
Porur,Mon,13:30-14:00,108,Vadapalani,0.29536104339995833
Porur,Mon,13:30-14:00,108,Thiruvanmiyur,0.3905092092435768
Porur,Mon,13:30-14:00,108,Broadway,0.3141297473564648
Ramapuram,Mon,09:30-10:00,102,Thiruvanmiyur,1.0
Ramapuram,Mon,14:30-15:00,41,Thiruvanmiyur,1.0
Porur,Wed,14:00-14:30,37,Vadapalani,0.26881882859642714
Porur,Wed,14:00-14:30,37,Thiruvanmiyur,0.43060129215865106
Porur,Wed,14:00-14:30,37,Broadway,0.30057987924492174
Iyyappanthangal,Mon,07:00-07:30,67,Vadapalani,0.5677330341416277
Iyyappanthangal,Mon,07:00-07:30,67,Thiruvanmiyur,0.2639601177325648
Iyyappanthangal,Mon,07:00-07:30,67,Broadway,0.16830684812580754
Ramapuram,Thu,06:00-06:30,53,Thiruvanmiyur,1.0
Valasaravakkam,Sun,09:30-10:00,22,Vadapalani,0.7056698054002264
Valasaravakkam,Sun,09:30-10:00,22,Broadway,0.2943301945997736
Ramapuram,Thu,09:00-09:30,56,Thiruvanmiyur,1.0
Porur,Tue,15:30-16:00,57,Vadapalani,0.3419446230017941
Porur,Tue,15:30-16:00,57,Thiruvanmiyur,0.38863117189308133
Porur,Tue,15:30-16:00,57,Broadway,0.26942420510512455
Valasaravakkam,Fri,12:00-12:30,22,Vadapalani,0.42848547722776353
Valasaravakkam,Fri,12:00-12:30,22,Broadway,0.5715145227722365
Iyyappanthangal,Mon,10:30-11:00,88,Vadapalani,0.23609414155201727
Iyyappanthangal,Mon,10:30-11:00,88,Thiruvanmiyur,0.41779879904179806
Iyyappanthangal,Mon,10:30-11:00,88,Broadway,0.3461070594061847
Ramapuram,Thu,13:30-14:00,86,Thiruvanmiyur,1.0
Ramapuram,Thu,14:30-15:00,25,Thiruvanmiyur,1.0
Valasaravakkam,Mon,20:00-20:30,28,Vadapalani,0.3295150651192
Valasaravakkam,Mon,20:00-20:30,28,Broadway,0.6704849348808001
Iyyappanthangal,Fri,08:30-09:00,71,Vadapalani,0.5879670020826734
Iyyappanthangal,Fri,08:30-09:00,71,Thiruvanmiyur,0.2642907647909501
Iyyappanthangal,Fri,08:30-09:00,71,Broadway,0.1477422331263765
Iyyappanthangal,Fri,19:00-19:30,77,Vadapalani,0.2817082088946464
Iyyappanthangal,Fri,19:00-19:30,77,Thiruvanmiyur,0.4796963632589915
Iyyappanthangal,Fri,19:00-19:30,77,Broadway,0.2385954278463622
Valasaravakkam,Sat,12:30-13:00,20,Vadapalani,0.42869490976631974
Valasaravakkam,Sat,12:30-13:00,20,Broadway,0.5713050902336803
Ramapuram,Sun,19:30-20:00,72,Thiruvanmiyur,1.0
Iyyappanthangal,Thu,14:30-15:00,71,Vadapalani,0.26614771677416776
Iyyappanthangal,Thu,14:30-15:00,71,Thiruvanmiyur,0.39509904308592836
Iyyappanthangal,Thu,14:30-15:00,71,Broadway,0.3387532401399039
Iyyappanthangal,Wed,18:00-18:30,110,Vadapalani,0.28167955966063835
Iyyappanthangal,Wed,18:00-18:30,110,Thiruvanmiyur,0.4833910205214084
Iyyappanthangal,Wed,18:00-18:30,110,Broadway,0.23492941981795323
Porur,Thu,20:30-21:00,109,Vadapalani,0.26015749154925305
Porur,Thu,20:30-21:00,109,Thiruvanmiyur,0.43088889598858643
Porur,Thu,20:30-21:00,109,Broadway,0.3089536124621606
Iyyappanthangal,Thu,10:30-11:00,105,Vadapalani,0.27245785190944444
Iyyappanthangal,Thu,10:30-11:00,105,Thiruvanmiyur,0.3582913538565407
Iyyappanthangal,Thu,10:30-11:00,105,Broadway,0.3692507942340148
Iyyappanthangal,Sun,09:00-09:30,46,Vadapalani,0.6276619436624391
Iyyappanthangal,Sun,09:00-09:30,46,Thiruvanmiyur,0.20642703469214893
Iyyappanthangal,Sun,09:00-09:30,46,Broadway,0.1659110216454119
Ramapuram,Mon,10:30-11:00,59,Thiruvanmiyur,1.0
Iyyappanthangal,Sat,09:30-10:00,90,Vadapalani,0.5335924395156818
Iyyappanthangal,Sat,09:30-10:00,90,Thiruvanmiyur,0.2714794243398681
Iyyappanthangal,Sat,09:30-10:00,90,Broadway,0.1949281361444502
Porur,Tue,20:00-20:30,40,Vadapalani,0.24981789819733263
Porur,Tue,20:00-20:30,40,Thiruvanmiyur,0.4694883383010363
Porur,Tue,20:00-20:30,40,Broadway,0.2806937635016311
Porur,Fri,08:00-08:30,62,Vadapalani,0.6435895720151396
Porur,Fri,08:00-08:30,62,Thiruvanmiyur,0.2611168588498591
Porur,Fri,08:00-08:30,62,Broadway,0.09529356913500132
Valasaravakkam,Fri,12:30-13:00,24,Vadapalani,0.33403950832559
Valasaravakkam,Fri,12:30-13:00,24,Broadway,0.66596049167441
Porur,Sat,17:00-17:30,20,Vadapalani,0.2896867862476853
Porur,Sat,17:00-17:30,20,Thiruvanmiyur,0.4826958714759201
Porur,Sat,17:00-17:30,20,Broadway,0.22761734227639466
Iyyappanthangal,Mon,14:00-14:30,37,Vadapalani,0.28750320380169825
Iyyappanthangal,Mon,14:00-14:30,37,Thiruvanmiyur,0.451499192604649
Iyyappanthangal,Mon,14:00-14:30,37,Broadway,0.2609976035936527
Valasaravakkam,Sun,09:30-10:00,95,Vadapalani,0.7195981087154211
Valasaravakkam,Sun,09:30-10:00,95,Broadway,0.2804018912845788
Ramapuram,Sat,08:30-09:00,84,Thiruvanmiyur,1.0
Porur,Sun,11:00-11:30,86,Vadapalani,0.3460668311259599
Porur,Sun,11:00-11:30,86,Thiruvanmiyur,0.33044749784920335
Porur,Sun,11:00-11:30,86,Broadway,0.3234856710248369
Iyyappanthangal,Wed,18:30-19:00,103,Vadapalani,0.26085087983602756
Iyyappanthangal,Wed,18:30-19:00,103,Thiruvanmiyur,0.5479629314506039
Iyyappanthangal,Wed,18:30-19:00,103,Broadway,0.19118618871336848
Porur,Thu,18:00-18:30,57,Vadapalani,0.34532501345173533
Porur,Thu,18:00-18:30,57,Thiruvanmiyur,0.41657524223528314
Porur,Thu,18:00-18:30,57,Broadway,0.23809974431298153
Iyyappanthangal,Wed,17:00-17:30,119,Vadapalani,0.22480867307060953
Iyyappanthangal,Wed,17:00-17:30,119,Thiruvanmiyur,0.5225344428670683
Iyyappanthangal,Wed,17:00-17:30,119,Broadway,0.2526568840623223
Valasaravakkam,Thu,18:30-19:00,114,Vadapalani,0.33001119403327
Valasaravakkam,Thu,18:30-19:00,114,Broadway,0.6699888059667299
Porur,Sat,20:00-20:30,36,Vadapalani,0.2555671479898481
Porur,Sat,20:00-20:30,36,Thiruvanmiyur,0.47745005069545043
Porur,Sat,20:00-20:30,36,Broadway,0.26698280131470153
Valasaravakkam,Thu,14:00-14:30,32,Vadapalani,0.4501853001128029
Valasaravakkam,Thu,14:00-14:30,32,Broadway,0.5498146998871971
Valasaravakkam,Sat,21:30-22:00,91,Vadapalani,0.3484502021985665
Valasaravakkam,Sat,21:30-22:00,91,Broadway,0.6515497978014335
Ramapuram,Mon,19:30-20:00,55,Thiruvanmiyur,1.0
Valasaravakkam,Fri,18:30-19:00,27,Vadapalani,0.3045293376533189
Valasaravakkam,Fri,18:30-19:00,27,Broadway,0.695470662346681
Valasaravakkam,Fri,19:30-20:00,116,Vadapalani,0.2741500475145629
Valasaravakkam,Fri,19:30-20:00,116,Broadway,0.7258499524854372
Valasaravakkam,Fri,16:00-16:30,45,Vadapalani,0.27561468277350654
Valasaravakkam,Fri,16:00-16:30,45,Broadway,0.7243853172264935
Iyyappanthangal,Wed,14:30-15:00,119,Vadapalani,0.3030228881067165
Iyyappanthangal,Wed,14:30-15:00,119,Thiruvanmiyur,0.4500411970956264
Iyyappanthangal,Wed,14:30-15:00,119,Broadway,0.2469359147976571
Ramapuram,Sun,09:00-09:30,64,Thiruvanmiyur,1.0
Valasaravakkam,Tue,09:30-10:00,92,Vadapalani,0.7568718916571688
Valasaravakkam,Tue,09:30-10:00,92,Broadway,0.2431281083428312
Porur,Fri,19:00-19:30,33,Vadapalani,0.16546627967101724
Porur,Fri,19:00-19:30,33,Thiruvanmiyur,0.5278538389197931
Porur,Fri,19:00-19:30,33,Broadway,0.30667988140918967
Ramapuram,Sun,13:00-13:30,102,Thiruvanmiyur,1.0
Ramapuram,Sat,13:00-13:30,66,Thiruvanmiyur,1.0
Ramapuram,Thu,08:00-08:30,114,Thiruvanmiyur,1.0
Ramapuram,Mon,12:30-13:00,26,Thiruvanmiyur,1.0
Porur,Thu,06:30-07:00,36,Vadapalani,0.6492771972942992
Porur,Thu,06:30-07:00,36,Thiruvanmiyur,0.2662829377051599
Porur,Thu,06:30-07:00,36,Broadway,0.08443986500054088
Porur,Wed,08:00-08:30,70,Vadapalani,0.5860335523437343
Porur,Wed,08:00-08:30,70,Thiruvanmiyur,0.21642103663600612
Porur,Wed,08:00-08:30,70,Broadway,0.1975454110202596
Ramapuram,Fri,19:00-19:30,94,Thiruvanmiyur,1.0
Valasaravakkam,Fri,12:00-12:30,24,Vadapalani,0.3686035243776406
Valasaravakkam,Fri,12:00-12:30,24,Broadway,0.6313964756223595
Ramapuram,Tue,08:30-09:00,99,Thiruvanmiyur,1.0
Iyyappanthangal,Mon,13:30-14:00,107,Vadapalani,0.3577981334337299
Iyyappanthangal,Mon,13:30-14:00,107,Thiruvanmiyur,0.29687188733601777
Iyyappanthangal,Mon,13:30-14:00,107,Broadway,0.3453299792302525
Iyyappanthangal,Sun,11:30-12:00,24,Vadapalani,0.2885966363601166
Iyyappanthangal,Sun,11:30-12:00,24,Thiruvanmiyur,0.3821508681932628
Iyyappanthangal,Sun,11:30-12:00,24,Broadway,0.3292524954466206
Iyyappanthangal,Fri,15:00-15:30,21,Vadapalani,0.3086569610496674
Iyyappanthangal,Fri,15:00-15:30,21,Thiruvanmiyur,0.33526974175852586
Iyyappanthangal,Fri,15:00-15:30,21,Broadway,0.35607329719180675
Porur,Mon,09:00-09:30,54,Vadapalani,0.6475002320198056
Porur,Mon,09:00-09:30,54,Thiruvanmiyur,0.23325425711140657
Porur,Mon,09:00-09:30,54,Broadway,0.11924551086878811
Ramapuram,Thu,17:30-18:00,52,Thiruvanmiyur,1.0
Ramapuram,Thu,17:00-17:30,90,Thiruvanmiyur,1.0
Iyyappanthangal,Thu,14:30-15:00,57,Vadapalani,0.26247166311897757
Iyyappanthangal,Thu,14:30-15:00,57,Thiruvanmiyur,0.4141397204265693
Iyyappanthangal,Thu,14:30-15:00,57,Broadway,0.3233886164544531
Iyyappanthangal,Fri,10:30-11:00,29,Vadapalani,0.27377335380564743
Iyyappanthangal,Fri,10:30-11:00,29,Thiruvanmiyur,0.3929868242789707
Iyyappanthangal,Fri,10:30-11:00,29,Broadway,0.3332398219153819
Iyyappanthangal,Sun,21:30-22:00,108,Vadapalani,0.21741143974110844
Iyyappanthangal,Sun,21:30-22:00,108,Thiruvanmiyur,0.44656743263205256
Iyyappanthangal,Sun,21:30-22:00,108,Broadway,0.336021127626839
Ramapuram,Sat,20:30-21:00,53,Thiruvanmiyur,1.0
Ramapuram,Thu,18:30-19:00,55,Thiruvanmiyur,1.0
Porur,Fri,09:00-09:30,83,Vadapalani,0.6155740089288335
Porur,Fri,09:00-09:30,83,Thiruvanmiyur,0.26357669458886124
Porur,Fri,09:00-09:30,83,Broadway,0.1208492964823053
Ramapuram,Sat,16:00-16:30,72,Thiruvanmiyur,1.0
Valasaravakkam,Sat,14:00-14:30,84,Vadapalani,0.4520256556626316
Valasaravakkam,Sat,14:00-14:30,84,Broadway,0.5479743443373684
Valasaravakkam,Tue,15:30-16:00,104,Vadapalani,0.44389280978746104
Valasaravakkam,Tue,15:30-16:00,104,Broadway,0.5561071902125388
Ramapuram,Mon,11:00-11:30,96,Thiruvanmiyur,1.0
Porur,Fri,19:30-20:00,116,Vadapalani,0.19333855048457813
Porur,Fri,19:30-20:00,116,Thiruvanmiyur,0.464234434443895
Porur,Fri,19:30-20:00,116,Broadway,0.3424270150715269
Iyyappanthangal,Fri,08:30-09:00,116,Vadapalani,0.660276445835259
Iyyappanthangal,Fri,08:30-09:00,116,Thiruvanmiyur,0.28189760476949444
Iyyappanthangal,Fri,08:30-09:00,116,Broadway,0.057825949395246476
Iyyappanthangal,Tue,09:00-09:30,24,Vadapalani,0.7172906739679381
Iyyappanthangal,Tue,09:00-09:30,24,Thiruvanmiyur,0.22495676651234706
Iyyappanthangal,Tue,09:00-09:30,24,Broadway,0.05775255951971484
Iyyappanthangal,Fri,17:00-17:30,63,Vadapalani,0.2953780820823617
Iyyappanthangal,Fri,17:00-17:30,63,Thiruvanmiyur,0.45324700673760576
Iyyappanthangal,Fri,17:00-17:30,63,Broadway,0.2513749111800326
Valasaravakkam,Fri,08:30-09:00,79,Vadapalani,0.6055833115123871
Valasaravakkam,Fri,08:30-09:00,79,Broadway,0.39441668848761285
Ramapuram,Fri,13:00-13:30,108,Thiruvanmiyur,1.0
Iyyappanthangal,Tue,08:00-08:30,102,Vadapalani,0.6625792285865278
Iyyappanthangal,Tue,08:00-08:30,102,Thiruvanmiyur,0.17800701752131218
Iyyappanthangal,Tue,08:00-08:30,102,Broadway,0.15941375389215995
Iyyappanthangal,Sun,16:00-16:30,59,Vadapalani,0.2653038657440995
Iyyappanthangal,Sun,16:00-16:30,59,Thiruvanmiyur,0.452241918723171
Iyyappanthangal,Sun,16:00-16:30,59,Broadway,0.2824542155327294
Porur,Sun,10:00-10:30,45,Vadapalani,0.2854999964534566
Porur,Sun,10:00-10:30,45,Thiruvanmiyur,0.4388536523049827
Porur,Sun,10:00-10:30,45,Broadway,0.27564635124156056
Ramapuram,Sat,16:00-16:30,71,Thiruvanmiyur,1.0
Valasaravakkam,Sun,19:30-20:00,110,Vadapalani,0.33882772053328336
Valasaravakkam,Sun,19:30-20:00,110,Broadway,0.6611722794667166
Valasaravakkam,Mon,18:00-18:30,91,Vadapalani,0.2878276649084339
Valasaravakkam,Mon,18:00-18:30,91,Broadway,0.7121723350915662
Valasaravakkam,Fri,06:30-07:00,85,Vadapalani,0.758970008460244
Valasaravakkam,Fri,06:30-07:00,85,Broadway,0.24102999153975596
Valasaravakkam,Sun,13:00-13:30,27,Vadapalani,0.43298261122042
